City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
547,parauapebas,-6.0675,-49.9022,23.140000000000043,94,44,0.92,BR,1717281789
548,mwene-ditu,-7.0,23.45,21.450000000000045,79,39,0.65,CD,1717281789
549,quang ngai,15.1167,108.8,25.879999999999995,82,100,2.03,VN,1717281790
550,ha'il,27.5219,41.6907,29.010000000000048,21,0,2.06,SA,1717281790
551,sovetskiy,61.3614,63.5842,5.5,66,37,2.24,RU,1717281790
552,colonia general alfredo stroessner,-25.3667,-55.7,16.180000000000007,64,98,2.36,PY,1717281791
553,palu,-0.8917,119.8707,25.480000000000018,95,78,0.84,ID,1717281791
554,santa maria,-29.6842,-53.8069,18.610000000000014,72,0,1.54,BR,1717281772
555,saskatoon,52.1168,-106.6345,22.99000000000001,33,40,11.32,CA,1717281503
556,pangody,65.85,74.4859,-2.509999999999991,93,96,9.76,RU,1717281791
557,tanumah,27.1,44.1333,30.660000000000025,15,0,7.13,SA,1717281792
558,ambatofinandrahana,-20.55,46.8,12.75,96,10,1.31,MG,1717281792
559,kampot,10.6167,104.1833,26.03000000000003,80,100,1.71,KH,1717281792
560,kokopo,-4.352,152.2633,28.310000000000002,73,56,1.46,PG,1717281792
561,libreville,0.3925,9.4537,28.010000000000048,83,75,3.09,GA,1717281792
562,anaconda,46.1285,-112.9423,22.55000000000001,41,100,4.43,US,1717281663
563,soke,13.598,-5.9386,36.670000000000016,26,91,7.65,ML,1717281793
564,big spring,32.2504,-101.4787,33.460000000000036,42,40,4.12,US,1717281793
565,fada,9.5667,8.3,22.460000000000036,86,97,0.93,NG,1717281793
566,san antonio de pale,-1.4014,5.6325,26.82000000000005,71,74,6.99,GQ,1717281793
567,skeldon,5.8833,-57.1333,25.560000000000002,82,100,1.08,GY,1717281794
568,key west,24.5557,-81.7826,32.0,58,20,7.72,US,1717281794
569,dunedin,-45.8742,170.5036,10.450000000000045,62,9,2.68,NZ,1717281794
570,hami,42.8,93.45,22.02000000000004,22,81,2.89,CN,1717281794
571,rockland,41.1668,-74.0496,28.470000000000027,39,4,1.56,US,1717281794
572,buseresere,-3.0236,31.8747,19.54000000000002,69,51,0.42,TZ,1717281608
573,usinsk,65.9939,57.5281,0.040000000000020464,88,91,2.68,RU,1717281499
574,itaituba,-4.2761,-55.9836,24.129999999999995,98,69,1.27,BR,1717281795
575,kaoma,-14.7833,24.8,14.710000000000036,44,0,1.13,ZM,1717281795
576,sittwe,20.15,92.9,28.480000000000018,79,99,1.32,MM,1717281795
577,walvis bay,-22.9575,14.5053,10.610000000000014,61,0,1.54,NA,1717281796
578,stara pazova,44.985,20.1608,20.5,67,0,2.57,RS,1717281796
579,arkhangel'sk,64.5401,40.5433,17.850000000000023,88,0,2.0,RU,1717281796
580,kapit,2.0167,112.9333,23.970000000000027,100,100,0.44,MY,1717281796
581,vilyuysk,63.7553,121.6247,17.220000000000027,51,100,1.79,RU,1717281797
